店名,網址,星級,評論,回復,地址
樂軒松阪亭,https://www.google.com.tw/maps/place/%E6%A8%82%E8%BB%92%E6%9D%BE%E9%98%AA%E4%BA%AD/data=!4m6!3m5!1s0x3442ab749825aa2f:0xb1a72e3b4e20e2d!8m2!3d25.0395654!4d121.5666828!16s%2Fg%2F11f5w40y3h?authuser=0&hl=zh-TW&rclk=1,4.8,2331,,
寬巷子鍋品美食 微風信義店,https://www.google.com.tw/maps/place/%E5%AF%AC%E5%B7%B7%E5%AD%90%E9%8D%8B%E5%93%81%E7%BE%8E%E9%A3%9F+%E5%BE%AE%E9%A2%A8%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abbb94bbee3b:0xff80aeb28966080b!8m2!3d25.0405444!4d121.5667909!16s%2Fg%2F11cmn7tnkn?authuser=0&hl=zh-TW&rclk=1,4.7,2808,,
涓豆腐 ATT信義店,https://www.google.com.tw/maps/place/%E6%B6%93%E8%B1%86%E8%85%90+ATT%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0b6348785:0xb88b1ff06017e9db!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11byxg3hlr?authuser=0&hl=zh-TW&rclk=1,4.2,1378,,
樂天皇朝 信義店,https://www.google.com.tw/maps/place/%E6%A8%82%E5%A4%A9%E7%9A%87%E6%9C%9D+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abbb94cbb63d:0x19b585e28120872c!8m2!3d25.040682!4d121.5669646!16s%2Fg%2F11cnwdkmbv?authuser=0&hl=zh-TW&rclk=1,4.2,1904,,
Chili's Grill & Bar美式休閒餐廳-信義店 (Xinyi),https://www.google.com.tw/maps/place/Chili's+Grill+%26+Bar%E7%BE%8E%E5%BC%8F%E4%BC%91%E9%96%92%E9%A4%90%E5%BB%B3-%E4%BF%A1%E7%BE%A9%E5%BA%97+(Xinyi)/data=!4m6!3m5!1s0x3442a97765c87641:0xfff90118bb559732!8m2!3d25.0355335!4d121.5677574!16s%2Fg%2F1thl33f4?authuser=0&hl=zh-TW&rclk=1,4.5,1900,,
教父牛排 Top Cap Steakhouse,https://www.google.com.tw/maps/place/%E6%95%99%E7%88%B6%E7%89%9B%E6%8E%92+Top+Cap+Steakhouse/data=!4m6!3m5!1s0x3442abbbb609d58f:0x75fc75f0814f0982!8m2!3d25.0396539!4d121.5667018!16s%2Fg%2F11b7gq4qlr?authuser=0&hl=zh-TW&rclk=1,4.1,1346,,
INPARADISE 饗饗,https://www.google.com.tw/maps/place/INPARADISE+%E9%A5%97%E9%A5%97/data=!4m6!3m5!1s0x3442abbbeadeeae9:0x78dbb9243e9c680a!8m2!3d25.040512!4d121.567154!16s%2Fg%2F11g8fl1vjd?authuser=0&hl=zh-TW&rclk=1,4.3,7771,,
醐同燒肉夜食-胡同燒肉5號店,https://www.google.com.tw/maps/place/%E9%86%90%E5%90%8C%E7%87%92%E8%82%89%E5%A4%9C%E9%A3%9F-%E8%83%A1%E5%90%8C%E7%87%92%E8%82%895%E8%99%9F%E5%BA%97/data=!4m6!3m5!1s0x3442abb0844fc4f5:0x33081531fa0e86d5!8m2!3d25.0355169!4d121.567918!16s%2Fg%2F1tgpkqtd?authuser=0&hl=zh-TW&rclk=1,4.1,793,,
隨意鳥地方101觀景餐廳,https://www.google.com.tw/maps/place/%E9%9A%A8%E6%84%8F%E9%B3%A5%E5%9C%B0%E6%96%B9101%E8%A7%80%E6%99%AF%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abb6e9d92dd5:0x46367a0207787752!8m2!3d25.0335715!4d121.5649428!16s%2Fg%2F1pzs84s52?authuser=0&hl=zh-TW&rclk=1,4.1,3145,,
台北君悅酒店 ZIGA ZAGA,https://www.google.com.tw/maps/place/%E5%8F%B0%E5%8C%97%E5%90%9B%E6%82%85%E9%85%92%E5%BA%97+ZIGA+ZAGA/data=!4m6!3m5!1s0x3442abb7a75a2dc9:0x8ed184b19b2cb270!8m2!3d25.0353371!4d121.5631414!16s%2Fg%2F1hc34lwvl?authuser=0&hl=zh-TW&rclk=1,4.2,798,,
旭集 和食集錦 信義店,https://www.google.com.tw/maps/place/%E6%97%AD%E9%9B%86+%E5%92%8C%E9%A3%9F%E9%9B%86%E9%8C%A6+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x34429fa77fff67a3:0x2e0586ed07ea419!8m2!3d25.0367178!4d121.5679135!16s%2Fg%2F11j1hjktyh?authuser=0&hl=zh-TW&rclk=1,4.2,3660,,
Beef King 信義旗艦店,https://www.google.com.tw/maps/place/Beef+King+%E4%BF%A1%E7%BE%A9%E6%97%97%E8%89%A6%E5%BA%97/data=!4m6!3m5!1s0x3442abcba746e18b:0x7dccf28b781da4ec!8m2!3d25.035332!4d121.5659537!16s%2Fg%2F11h0tb9ytw?authuser=0&hl=zh-TW&rclk=1,4.4,1196,,
史密斯華倫斯基牛排館 Smith & Wollensky Taipei,https://www.google.com.tw/maps/place/%E5%8F%B2%E5%AF%86%E6%96%AF%E8%8F%AF%E5%80%AB%E6%96%AF%E5%9F%BA%E7%89%9B%E6%8E%92%E9%A4%A8+Smith+%26+Wollensky+Taipei/data=!4m6!3m5!1s0x3442abefec0a2d11:0xb705f1a4ba92d51f!8m2!3d25.0342883!4d121.5673522!16s%2Fg%2F11gxxzwdq0?authuser=0&hl=zh-TW&rclk=1,4.3,2669,,
海底撈火鍋 信義店,https://www.google.com.tw/maps/place/%E6%B5%B7%E5%BA%95%E6%92%88%E7%81%AB%E9%8D%8B+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abd6a99a9a67:0x1e2ecd843db87306!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11fj479qn0?authuser=0&hl=zh-TW&rclk=1,4.5,3110,,
鶿克米 TSUKUMI,https://www.google.com.tw/maps/place/%E9%B6%BF%E5%85%8B%E7%B1%B3+TSUKUMI/data=!4m6!3m5!1s0x3442abbbc20d671d:0xc27e3ed0712a8954!8m2!3d25.0405667!4d121.5669347!16s%2Fg%2F11cmxy188b?authuser=0&hl=zh-TW&rclk=1,4.1,811,,
合.shabu,https://www.google.com.tw/maps/place/%E5%90%88.shabu/data=!4m6!3m5!1s0x3442abbba86a7507:0x95ef4330b5c63da!8m2!3d25.0396219!4d121.567641!16s%2Fg%2F11g_2phpj?authuser=0&hl=zh-TW&rclk=1,4.6,3069,,
台北君悅酒店 凱菲屋 Café,https://www.google.com.tw/maps/place/%E5%8F%B0%E5%8C%97%E5%90%9B%E6%82%85%E9%85%92%E5%BA%97+%E5%87%B1%E8%8F%B2%E5%B1%8B+Caf%C3%A9/data=!4m6!3m5!1s0x3442abb7a7382081:0xe7fb508e2f04c968!8m2!3d25.0351102!4d121.5621894!16s%2Fg%2F1q64qphps?authuser=0&hl=zh-TW&rclk=1,4.1,4194,,
燒肉中山｜台北信義店,https://www.google.com.tw/maps/place/%E7%87%92%E8%82%89%E4%B8%AD%E5%B1%B1%EF%BD%9C%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442ab0bddfa363d:0x9e5e850da0bd29d2!8m2!3d25.03531!4d121.5660665!16s%2Fg%2F11j2nl4fr8?authuser=0&hl=zh-TW&rclk=1,4.6,1606,,
