店名,網址,星級,評論,回復,地址
11 Cafe《早午餐&創意義大利麵專賣店》,https://www.google.com.tw/maps/place/11+Cafe%E3%80%8A%E6%97%A9%E5%8D%88%E9%A4%90%26%E5%89%B5%E6%84%8F%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%E5%B0%88%E8%B3%A3%E5%BA%97%E3%80%8B/data=!4m6!3m5!1s0x3442abb92b2135d1:0xc824faee155f9453!8m2!3d25.0425217!4d121.56284!16s%2Fg%2F12m8zsvg5?authuser=0&hl=zh-TW&rclk=1,4.6,1656,,
亞米小廚 yummy kitchenette,https://www.google.com.tw/maps/place/%E4%BA%9E%E7%B1%B3%E5%B0%8F%E5%BB%9A+yummy+kitchenette/data=!4m6!3m5!1s0x3442abbce3c023cd:0x432984f9985de145!8m2!3d25.043494!4d121.5693776!16s%2Fg%2F11dymqtzx2?authuser=0&hl=zh-TW&rclk=1,4.7,557,,
TGI FRIDAYS 星期五美式餐廳 松高餐廳,https://www.google.com.tw/maps/place/TGI+FRIDAYS+%E6%98%9F%E6%9C%9F%E4%BA%94%E7%BE%8E%E5%BC%8F%E9%A4%90%E5%BB%B3+%E6%9D%BE%E9%AB%98%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x346803e2daa71f85:0x6d793e71711aeb94!8m2!3d25.0381554!4d121.5673139!16s%2Fg%2F11h4c9p6bc?authuser=0&hl=zh-TW&rclk=1,4.1,648,,
Butcher by LanPengYou,https://www.google.com.tw/maps/place/Butcher+by+LanPengYou/data=!4m6!3m5!1s0x3442ab30df9c5285:0x8886b4a8e0a59080!8m2!3d25.0298529!4d121.558221!16s%2Fg%2F11fwq3jzbj?authuser=0&hl=zh-TW&rclk=1,4.1,1108,,
GUMGUM Beer & Wings 雞翅酒吧-信義本店,https://www.google.com.tw/maps/place/GUMGUM+Beer+%26+Wings+%E9%9B%9E%E7%BF%85%E9%85%92%E5%90%A7-%E4%BF%A1%E7%BE%A9%E6%9C%AC%E5%BA%97/data=!4m6!3m5!1s0x3442abc9e61bed7b:0xd8978857a512d1a6!8m2!3d25.0338989!4d121.5591333!16s%2Fg%2F11c709w5c_?authuser=0&hl=zh-TW&rclk=1,4.6,2080,,
新高軒信義店(A11-B2),https://www.google.com.tw/maps/place/%E6%96%B0%E9%AB%98%E8%BB%92%E4%BF%A1%E7%BE%A9%E5%BA%97(A11-B2)/data=!4m6!3m5!1s0x3442abca004f3b09:0x251b1ea1a38c3c58!8m2!3d25.0365446!4d121.5672369!16s%2Fg%2F11hzy7lb_c?authuser=0&hl=zh-TW&rclk=1,4.6,1029,,
四時輕燒肉概念屋,https://www.google.com.tw/maps/place/%E5%9B%9B%E6%99%82%E8%BC%95%E7%87%92%E8%82%89%E6%A6%82%E5%BF%B5%E5%B1%8B/data=!4m6!3m5!1s0x3442ab1da105370b:0xa1fb6a806e51082!8m2!3d25.0471036!4d121.550679!16s%2Fg%2F11g4c4kskq?authuser=0&hl=zh-TW&rclk=1,4.9,5591,,
PappaRich金爸爸-新光信義A9店,https://www.google.com.tw/maps/place/PappaRich%E9%87%91%E7%88%B8%E7%88%B8-%E6%96%B0%E5%85%89%E4%BF%A1%E7%BE%A9A9%E5%BA%97/data=!4m6!3m5!1s0x3442abba699fcffd:0x9b31617011ad9314!8m2!3d25.0363392!4d121.5667018!16s%2Fg%2F11cnc0cbx6?authuser=0&hl=zh-TW&rclk=1,4.1,1603,,
筷炒KUAICHAO,https://www.google.com.tw/maps/place/%E7%AD%B7%E7%82%92KUAICHAO/data=!4m6!3m5!1s0x3442ab295c3d9f49:0xd0b6db04b95d3a97!8m2!3d25.0367179!4d121.5681308!16s%2Fg%2F11j1dmrs77?authuser=0&hl=zh-TW&rclk=1,4.5,705,,
新村站著吃烤肉,https://www.google.com.tw/maps/place/%E6%96%B0%E6%9D%91%E7%AB%99%E8%91%97%E5%90%83%E7%83%A4%E8%82%89/data=!4m6!3m5!1s0x3442abfa43366921:0x47959ba03854051c!8m2!3d25.04123!4d121.5685187!16s%2Fg%2F11h71kmf8s?authuser=0&hl=zh-TW&rclk=1,4.5,4045,,
"馬友友印度廚房 Mayur Indian Kitchen, MIK-1","https://www.google.com.tw/maps/place/%E9%A6%AC%E5%8F%8B%E5%8F%8B%E5%8D%B0%E5%BA%A6%E5%BB%9A%E6%88%BF+Mayur+Indian+Kitchen,+MIK-1/data=!4m6!3m5!1s0x3442abb791fc36d9:0x32e2daa7c1cb5ce9!8m2!3d25.0368309!4d121.5616073!16s%2Fg%2F1vm_vld3?authuser=0&hl=zh-TW&rclk=1",4.2,964,,
BaganHood 蔬食餐酒館-市政府站 (松菸IG美食 純素超市餐廳 推薦平價人氣),https://www.google.com.tw/maps/place/BaganHood+%E8%94%AC%E9%A3%9F%E9%A4%90%E9%85%92%E9%A4%A8-%E5%B8%82%E6%94%BF%E5%BA%9C%E7%AB%99+(%E6%9D%BE%E8%8F%B8IG%E7%BE%8E%E9%A3%9F+%E7%B4%94%E7%B4%A0%E8%B6%85%E5%B8%82%E9%A4%90%E5%BB%B3+%E6%8E%A8%E8%96%A6%E5%B9%B3%E5%83%B9%E4%BA%BA%E6%B0%A3)/data=!4m6!3m5!1s0x3442ab1b6ff34337:0xd2de4b92ce70ea33!8m2!3d25.0443206!4d121.5634869!16s%2Fg%2F11fnbdb89z?authuser=0&hl=zh-TW&rclk=1,4.5,961,,
蔬漫小姐Miss Shumaan.house,https://www.google.com.tw/maps/place/%E8%94%AC%E6%BC%AB%E5%B0%8F%E5%A7%90Miss+Shumaan.house/data=!4m6!3m5!1s0x3442aa4d4d6d1eb9:0x2e7f7d9823f5b971!8m2!3d25.0425866!4d121.5701127!16s%2Fg%2F11b6hkbgqx?authuser=0&hl=zh-TW&rclk=1,4.5,1309,,
小後苑Backyard Jr. (信義Xinyi),https://www.google.com.tw/maps/place/%E5%B0%8F%E5%BE%8C%E8%8B%91Backyard+Jr.+(%E4%BF%A1%E7%BE%A9Xinyi)/data=!4m6!3m5!1s0x3442abba1262a95b:0xa7399523976d3cc9!8m2!3d25.0366616!4d121.5667248!16s%2Fg%2F11gbf8llhh?authuser=0&hl=zh-TW&rclk=1,4.3,701,,
食令shabu,https://www.google.com.tw/maps/place/%E9%A3%9F%E4%BB%A4shabu/data=!4m6!3m5!1s0x3442ababb720b911:0x661bd181279c1178!8m2!3d25.0334929!4d121.564101!16s%2Fg%2F11jmxrb9_s?authuser=0&hl=zh-TW&rclk=1,4.8,1733,,
一蘭 台灣台北本店,https://www.google.com.tw/maps/place/%E4%B8%80%E8%98%AD+%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E6%9C%AC%E5%BA%97/data=!4m6!3m5!1s0x3442abba811b5ce3:0x2bc3f20642b199ef!8m2!3d25.0361643!4d121.5693468!16s%2Fg%2F11dyyx9cvy?authuser=0&hl=zh-TW&rclk=1,4.1,16705,,
Saffron 46,https://www.google.com.tw/maps/place/Saffron+46/data=!4m6!3m5!1s0x3442ab12e6ae3f01:0xd8efab3ee4ae4207!8m2!3d25.0341753!4d121.5669112!16s%2Fg%2F11h2nzmkp9?authuser=0&hl=zh-TW&rclk=1,4.3,994,,
隱世餐酒館(台北永春店)The Arcadia Bistro,https://www.google.com.tw/maps/place/%E9%9A%B1%E4%B8%96%E9%A4%90%E9%85%92%E9%A4%A8(%E5%8F%B0%E5%8C%97%E6%B0%B8%E6%98%A5%E5%BA%97)The+Arcadia+Bistro/data=!4m6!3m5!1s0x3442abf99bdc2e9f:0x3570ec294ccd5d!8m2!3d25.0411201!4d121.5731869!16s%2Fg%2F11llnyjb3y?authuser=0&hl=zh-TW&rclk=1,4.8,733,,
金子半之助 新光A8店,https://www.google.com.tw/maps/place/%E9%87%91%E5%AD%90%E5%8D%8A%E4%B9%8B%E5%8A%A9+%E6%96%B0%E5%85%89A8%E5%BA%97/data=!4m6!3m5!1s0x3442abba47fecf2b:0xa2c53402feb62faf!8m2!3d25.0387489!4d121.5666702!16s%2Fg%2F11f3bfg5gq?authuser=0&hl=zh-TW&rclk=1,4.1,1370,,
CÉ LA VI 台北,https://www.google.com.tw/maps/place/C%C3%89+LA+VI+%E5%8F%B0%E5%8C%97/data=!4m6!3m5!1s0x3442ab5b3896b905:0x1e74397cfefb7d35!8m2!3d25.0344948!4d121.5659255!16s%2Fg%2F11h6ns21gc?authuser=0&hl=zh-TW&rclk=1,4.4,1507,,
虎三同 韓食燒肉餐酒 HU3 KOREAN CUISINE,https://www.google.com.tw/maps/place/%E8%99%8E%E4%B8%89%E5%90%8C+%E9%9F%93%E9%A3%9F%E7%87%92%E8%82%89%E9%A4%90%E9%85%92+HU3+KOREAN+CUISINE/data=!4m6!3m5!1s0x3442ab869f0ead57:0x1162cc4c37eda2c1!8m2!3d25.0368001!4d121.5681278!16s%2Fg%2F11lrw6t50x?authuser=0&hl=zh-TW&rclk=1,4.4,761,,
象廚泰式料理,https://www.google.com.tw/maps/place/%E8%B1%A1%E5%BB%9A%E6%B3%B0%E5%BC%8F%E6%96%99%E7%90%86/data=!4m6!3m5!1s0x3442abbc1aae8e3b:0x817f87a2ae0123df!8m2!3d25.0425035!4d121.5662513!16s%2Fg%2F11c1n3bnzx?authuser=0&hl=zh-TW&rclk=1,4.3,990,,
小小麥台北信義店,https://www.google.com.tw/maps/place/%E5%B0%8F%E5%B0%8F%E9%BA%A5%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442ab66435bb93d:0xb43c5d300b0ee6c8!8m2!3d25.0441418!4d121.5688606!16s%2Fg%2F11hx7gbrjg?authuser=0&hl=zh-TW&rclk=1,4.6,541,,
香茅廚 微風南山店(Chef Lemongrass Thai Bistro Nanshan),https://www.google.com.tw/maps/place/%E9%A6%99%E8%8C%85%E5%BB%9A+%E5%BE%AE%E9%A2%A8%E5%8D%97%E5%B1%B1%E5%BA%97(Chef+Lemongrass+Thai+Bistro+Nanshan)/data=!4m6!3m5!1s0x3442ab4f247b1d37:0xada4dbc5e94727fa!8m2!3d25.0343073!4d121.5659555!16s%2Fg%2F11j36jg94w?authuser=0&hl=zh-TW&rclk=1,4.7,986,,
Café del SOL 福岡人氣第一鬆餅,https://www.google.com.tw/maps/place/Caf%C3%A9+del+SOL+%E7%A6%8F%E5%B2%A1%E4%BA%BA%E6%B0%A3%E7%AC%AC%E4%B8%80%E9%AC%86%E9%A4%85/data=!4m6!3m5!1s0x3442ab51df9e88ff:0x3e12dc273e7c2ebf!8m2!3d25.0405778!4d121.5671!16s%2Fg%2F11f9htfnlp?authuser=0&hl=zh-TW&rclk=1,4.1,2183,,
古記雞.私房菜.居酒屋,https://www.google.com.tw/maps/place/%E5%8F%A4%E8%A8%98%E9%9B%9E.%E7%A7%81%E6%88%BF%E8%8F%9C.%E5%B1%85%E9%85%92%E5%B1%8B/data=!4m6!3m5!1s0x3442abe14882b549:0x6acd5470ab595a83!8m2!3d25.040532!4d121.572814!16s%2Fg%2F11bx1y_9hp?authuser=0&hl=zh-TW&rclk=1,4.2,919,,
鼎泰豐 遠百信義A13店,https://www.google.com.tw/maps/place/%E9%BC%8E%E6%B3%B0%E8%B1%90+%E9%81%A0%E7%99%BE%E4%BF%A1%E7%BE%A9A13%E5%BA%97/data=!4m6!3m5!1s0x3442abee55b005c1:0x653b1d365b386044!8m2!3d25.0367849!4d121.5679567!16s%2Fg%2F11j8_w0dsq?authuser=0&hl=zh-TW&rclk=1,4.5,1140,,
馬辣頂級麻辣鴛鴦火鍋 信義店,https://www.google.com.tw/maps/place/%E9%A6%AC%E8%BE%A3%E9%A0%82%E7%B4%9A%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E7%81%AB%E9%8D%8B+%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb0844fc4f5:0x1915eb1b129c8a8!8m2!3d25.0354574!4d121.5678596!16s%2Fg%2F1v_0ggn4?authuser=0&hl=zh-TW&rclk=1,4.5,4355,,
Herbivore Vegan料理,https://www.google.com.tw/maps/place/Herbivore+Vegan%E6%96%99%E7%90%86/data=!4m6!3m5!1s0x3442abbbcf12687d:0x64a5457fdd180360!8m2!3d25.0396539!4d121.5667018!16s%2Fg%2F11gg98tm3t?authuser=0&hl=zh-TW&rclk=1,4.1,840,,
英國奶奶•手做料理• Britshake2,https://www.google.com.tw/maps/place/%E8%8B%B1%E5%9C%8B%E5%A5%B6%E5%A5%B6%E2%80%A2%E6%89%8B%E5%81%9A%E6%96%99%E7%90%86%E2%80%A2+Britshake2/data=!4m6!3m5!1s0x3442a7e90023fe77:0x953bde75193e9ad1!8m2!3d25.042273!4d121.566762!16s%2Fg%2F11f_1hrlvm?authuser=0&hl=zh-TW&rclk=1,4.2,1006,,
十二籃粥火鍋 逸仙店,https://www.google.com.tw/maps/place/%E5%8D%81%E4%BA%8C%E7%B1%83%E7%B2%A5%E7%81%AB%E9%8D%8B+%E9%80%B8%E4%BB%99%E5%BA%97/data=!4m6!3m5!1s0x3442abb903676b8b:0x591fa610d920ea28!8m2!3d25.0404799!4d121.5629965!16s%2Fg%2F11b6shcbq_?authuser=0&hl=zh-TW&rclk=1,4.3,1134,,
waku waku pasta 市府店,https://www.google.com.tw/maps/place/waku+waku+pasta+%E5%B8%82%E5%BA%9C%E5%BA%97/data=!4m6!3m5!1s0x3442ab5c8bc6b4af:0xc0d5c201f4f37922!8m2!3d25.0397197!4d121.5658739!16s%2Fg%2F11rbskvdf4?authuser=0&hl=zh-TW&rclk=1,4.5,511,,
草蔬宴義式蔬食餐廳,https://www.google.com.tw/maps/place/%E8%8D%89%E8%94%AC%E5%AE%B4%E7%BE%A9%E5%BC%8F%E8%94%AC%E9%A3%9F%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442a95e6440b841:0x4546827ac57d0ad3!8m2!3d25.0430044!4d121.5628452!16s%2Fg%2F11cn8ymskf?authuser=0&hl=zh-TW&rclk=1,4.5,1362,,
一品活蝦市府店,https://www.google.com.tw/maps/place/%E4%B8%80%E5%93%81%E6%B4%BB%E8%9D%A6%E5%B8%82%E5%BA%9C%E5%BA%97/data=!4m6!3m5!1s0x3442abbc9e631bfd:0x62b308f1da6cd939!8m2!3d25.0412045!4d121.5695249!16s%2Fg%2F11b77q53tf?authuser=0&hl=zh-TW&rclk=1,4.2,676,,
滇味廚房,https://www.google.com.tw/maps/place/%E6%BB%87%E5%91%B3%E5%BB%9A%E6%88%BF/data=!4m6!3m5!1s0x3442abbc843d6191:0x3a08997c11e0de43!8m2!3d25.0414748!4d121.5686372!16s%2Fg%2F1tx131v5?authuser=0&hl=zh-TW&rclk=1,4.1,1130,,
京都勝牛-信義新光A11店,https://www.google.com.tw/maps/place/%E4%BA%AC%E9%83%BD%E5%8B%9D%E7%89%9B-%E4%BF%A1%E7%BE%A9%E6%96%B0%E5%85%89A11%E5%BA%97/data=!4m6!3m5!1s0x3442ab8ca124fa19:0xa4a8e4e678111a78!8m2!3d25.0365446!4d121.5672369!16s%2Fg%2F11fd51768g?authuser=0&hl=zh-TW&rclk=1,4.1,1889,,
TAMED FOX XINYI,https://www.google.com.tw/maps/place/TAMED+FOX+XINYI/data=!4m6!3m5!1s0x3442aba3de2ab327:0xa714062955bba236!8m2!3d25.0369882!4d121.5692982!16s%2Fg%2F11hlc6y4ck?authuser=0&hl=zh-TW&rclk=1,4.3,592,,
武鼎越豐,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%BC%8E%E8%B6%8A%E8%B1%90/data=!4m6!3m5!1s0x3442abbc8861d52d:0xc3d77c1dbab65d64!8m2!3d25.0418167!4d121.5687979!16s%2Fg%2F1thxsxz8?authuser=0&hl=zh-TW&rclk=1,4.2,2449,,
初牛 台北松德店,https://www.google.com.tw/maps/place/%E5%88%9D%E7%89%9B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E5%BE%B7%E5%BA%97/data=!4m6!3m5!1s0x3442aba4539d4751:0xb462e8d291b787f1!8m2!3d25.0374025!4d121.5744763!16s%2Fg%2F11gzh8tgl?authuser=0&hl=zh-TW&rclk=1,4.2,1123,,
隨意商務酒吧 隨意吧 101-36F,https://www.google.com.tw/maps/place/%E9%9A%A8%E6%84%8F%E5%95%86%E5%8B%99%E9%85%92%E5%90%A7+%E9%9A%A8%E6%84%8F%E5%90%A7+101-36F/data=!4m6!3m5!1s0x3442abb6da80a7ad:0x22f7d31f4f2dc68b!8m2!3d25.0337675!4d121.5648602!16s%2Fg%2F1pzx6fxkq?authuser=0&hl=zh-TW&rclk=1,4.2,504,,
BURGER OUT,https://www.google.com.tw/maps/place/BURGER+OUT/data=!4m6!3m5!1s0x3442ab3840592b03:0xc668a05950184f80!8m2!3d25.0431622!4d121.5630698!16s%2Fg%2F11fhv3pgdx?authuser=0&hl=zh-TW&rclk=1,4.7,504,,
くら寿司 藏壽司 微風松高店,https://www.google.com.tw/maps/place/%E3%81%8F%E3%82%89%E5%AF%BF%E5%8F%B8+%E8%97%8F%E5%A3%BD%E5%8F%B8+%E5%BE%AE%E9%A2%A8%E6%9D%BE%E9%AB%98%E5%BA%97/data=!4m6!3m5!1s0x3442aba9b73a40f1:0xbce945b09f151877!8m2!3d25.0387076!4d121.56729!16s%2Fg%2F11j0vfttb6?authuser=0&hl=zh-TW&rclk=1,4.2,1538,,
遠百信義A13 炸牛元村,https://www.google.com.tw/maps/place/%E9%81%A0%E7%99%BE%E4%BF%A1%E7%BE%A9A13+%E7%82%B8%E7%89%9B%E5%85%83%E6%9D%91/data=!4m6!3m5!1s0x3442abd73406020f:0x108ae556320dab25!8m2!3d25.0368737!4d121.5679503!16s%2Fg%2F11j7y1tcjg?authuser=0&hl=zh-TW&rclk=1,4.8,2402,,
麵食主義 KIRIN PASTA 忠孝店,https://www.google.com.tw/maps/place/%E9%BA%B5%E9%A3%9F%E4%B8%BB%E7%BE%A9+KIRIN+PASTA+%E5%BF%A0%E5%AD%9D%E5%BA%97/data=!4m6!3m5!1s0x3442abbc9d4a7c97:0x309e45eb1477a007!8m2!3d25.0412245!4d121.5691288!16s%2Fg%2F1tdbzbjx?authuser=0&hl=zh-TW&rclk=1,4.1,1170,,
一幻拉麵 台北信義店,https://www.google.com.tw/maps/place/%E4%B8%80%E5%B9%BB%E6%8B%89%E9%BA%B5+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m6!3m5!1s0x3442abb086a12369:0xe11794025d2da997!8m2!3d25.0354792!4d121.5681028!16s%2Fg%2F11bwpz7q3x?authuser=0&hl=zh-TW&rclk=1,4.2,3852,,
一蘭 台灣台北別館,https://www.google.com.tw/maps/place/%E4%B8%80%E8%98%AD+%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%88%A5%E9%A4%A8/data=!4m6!3m5!1s0x3442ab9922acc39f:0xbe47e0c022a5a737!8m2!3d25.0363184!4d121.5673263!16s%2Fg%2F11f5v5zxs8?authuser=0&hl=zh-TW&rclk=1,4.2,4665,,
男子漢拉麵食堂-信義永春店,https://www.google.com.tw/maps/place/%E7%94%B7%E5%AD%90%E6%BC%A2%E6%8B%89%E9%BA%B5%E9%A3%9F%E5%A0%82-%E4%BF%A1%E7%BE%A9%E6%B0%B8%E6%98%A5%E5%BA%97/data=!4m6!3m5!1s0x3442aba3ed2f9dfb:0xa707a32245b24e87!8m2!3d25.0404201!4d121.5755533!16s%2Fg%2F11dyzlt7km?authuser=0&hl=zh-TW&rclk=1,4.1,766,,
辛巴適麻辣鍋-台北1號店,https://www.google.com.tw/maps/place/%E8%BE%9B%E5%B7%B4%E9%81%A9%E9%BA%BB%E8%BE%A3%E9%8D%8B-%E5%8F%B0%E5%8C%971%E8%99%9F%E5%BA%97/data=!4m6!3m5!1s0x3442ab36ba112da3:0x2016e22b3bbc0d15!8m2!3d25.035259!4d121.5660561!16s%2Fg%2F11rkn4kpq8?authuser=0&hl=zh-TW&rclk=1,4.7,1782,,
佳佳甜品 - 基隆路店,https://www.google.com.tw/maps/place/%E4%BD%B3%E4%BD%B3%E7%94%9C%E5%93%81+-+%E5%9F%BA%E9%9A%86%E8%B7%AF%E5%BA%97/data=!4m6!3m5!1s0x3442abbc1d08e847:0x7c88f489b9583bf4!8m2!3d25.0426428!4d121.565769!16s%2Fg%2F11gfb51tnf?authuser=0&hl=zh-TW&rclk=1,4.2,1383,,
瑞記海南雞飯 永吉店,https://www.google.com.tw/maps/place/%E7%91%9E%E8%A8%98%E6%B5%B7%E5%8D%97%E9%9B%9E%E9%A3%AF+%E6%B0%B8%E5%90%89%E5%BA%97/data=!4m6!3m5!1s0x3442abbcf31a26af:0x4442dadec4b8659!8m2!3d25.0426123!4d121.5689528!16s%2Fg%2F11c6cj5ppv?authuser=0&hl=zh-TW&rclk=1,4.1,1886,,
Orchid Restaurant 蘭,https://www.google.com.tw/maps/place/Orchid+Restaurant+%E8%98%AD/data=!4m6!3m5!1s0x3442abccc5140f6b:0x764247a61d671fa9!8m2!3d25.0300871!4d121.5521719!16s%2Fg%2F11c51cdfhh?authuser=0&hl=zh-TW&rclk=1,4.4,1115,,
蘇阿姨比薩屋,https://www.google.com.tw/maps/place/%E8%98%87%E9%98%BF%E5%A7%A8%E6%AF%94%E8%96%A9%E5%B1%8B/data=!4m6!3m5!1s0x3442abc7d162c2b9:0x4fd9d539b2ed4916!8m2!3d25.0391419!4d121.5574355!16s%2Fg%2F11bttbxgr0?authuser=0&hl=zh-TW&rclk=1,4.1,7861,,
樂軒和牛專門店,https://www.google.com.tw/maps/place/%E6%A8%82%E8%BB%92%E5%92%8C%E7%89%9B%E5%B0%88%E9%96%80%E5%BA%97/data=!4m6!3m5!1s0x3442abd02ee26d6d:0xa56c5cdee2a2b00f!8m2!3d25.0386596!4d121.5476777!16s%2Fg%2F11c20clfsh?authuser=0&hl=zh-TW&rclk=1,4.7,2482,,
香宮 Shang Palace - 台北遠東香格里拉,https://www.google.com.tw/maps/place/%E9%A6%99%E5%AE%AE+Shang+Palace+-+%E5%8F%B0%E5%8C%97%E9%81%A0%E6%9D%B1%E9%A6%99%E6%A0%BC%E9%87%8C%E6%8B%89/data=!4m6!3m5!1s0x3442aa2eaaaaaaab:0xb8495ae28d56bcb7!8m2!3d25.026403!4d121.5494!16s%2Fg%2F1tf5y_cz?authuser=0&hl=zh-TW&rclk=1,4.3,1652,,
囍聚精緻鍋物,https://www.google.com.tw/maps/place/%E5%9B%8D%E8%81%9A%E7%B2%BE%E7%B7%BB%E9%8D%8B%E7%89%A9/data=!4m6!3m5!1s0x3442abc0d5c0fd01:0xcfeb978e0a3990db!8m2!3d25.044234!4d121.557182!16s%2Fg%2F11cksfd4lv?authuser=0&hl=zh-TW&rclk=1,4.4,1475,,
好米亞餐酒館,https://www.google.com.tw/maps/place/%E5%A5%BD%E7%B1%B3%E4%BA%9E%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m6!3m5!1s0x3442abbc8d7d2d97:0xaa5c74446a7bdd04!8m2!3d25.0388512!4d121.5479078!16s%2Fg%2F1hc21j44g?authuser=0&hl=zh-TW&rclk=1,4.3,2343,,
新光三越 台北信義新天地A8,https://www.google.com.tw/maps/place/%E6%96%B0%E5%85%89%E4%B8%89%E8%B6%8A+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E6%96%B0%E5%A4%A9%E5%9C%B0A8/data=!4m6!3m5!1s0x3442abbbb609d58f:0xe2c9f37a7617f94a!8m2!3d25.0382454!4d121.5668708!16s%2Fg%2F11b6yllj7j?authuser=0&hl=zh-TW&rclk=1,4.3,9917,,
新光三越 台北信義新天地A9,https://www.google.com.tw/maps/place/%E6%96%B0%E5%85%89%E4%B8%89%E8%B6%8A+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E6%96%B0%E5%A4%A9%E5%9C%B0A9/data=!4m6!3m5!1s0x3442abba0bb02553:0x5848fb582c35b88f!8m2!3d25.0366706!4d121.5667018!16s%2Fg%2F11cn9gf8qx?authuser=0&hl=zh-TW&rclk=1,4.3,5620,,
品湯。白色麻辣鍋專賣店,https://www.google.com.tw/maps/place/%E5%93%81%E6%B9%AF%E3%80%82%E7%99%BD%E8%89%B2%E9%BA%BB%E8%BE%A3%E9%8D%8B%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m6!3m5!1s0x3442abcc87c2e409:0xf60a48118c83f4f3!8m2!3d25.0316524!4d121.5536102!16s%2Fg%2F11c5rpzb11?authuser=0&hl=zh-TW&rclk=1,4.2,887,,
Le Blanc,https://www.google.com.tw/maps/place/Le+Blanc/data=!4m6!3m5!1s0x3442abd187b1a7d5:0x847e9fe4e777d905!8m2!3d25.0361914!4d121.5461664!16s%2Fg%2F11cjg4fpzl?authuser=0&hl=zh-TW&rclk=1,4.4,2699,,
LeTAO小樽洋菓子舖 松菸店,https://www.google.com.tw/maps/place/LeTAO%E5%B0%8F%E6%A8%BD%E6%B4%8B%E8%8F%93%E5%AD%90%E8%88%96+%E6%9D%BE%E8%8F%B8%E5%BA%97/data=!4m6!3m5!1s0x3442abbedec4bc8d:0x3580c338232f346c!8m2!3d25.043671!4d121.562916!16s%2Fg%2F11b7l5j5sx?authuser=0&hl=zh-TW&rclk=1,4.1,1256,,
Toh-A 桌藏餐廳,https://www.google.com.tw/maps/place/Toh-A+%E6%A1%8C%E8%97%8F%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442aa288c2ef325:0x35748fa78d8f21cf!8m2!3d25.0224298!4d121.540362!16s%2Fg%2F11cjkq32ld?authuser=0&hl=zh-TW&rclk=1,4.4,950,,
紅九九個人麻辣鴛鴦鍋,https://www.google.com.tw/maps/place/%E7%B4%85%E4%B9%9D%E4%B9%9D%E5%80%8B%E4%BA%BA%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m6!3m5!1s0x3442abf7c5764b9b:0x6e1ac01440cd5799!8m2!3d25.0521097!4d121.5563655!16s%2Fg%2F11f66h32mp?authuser=0&hl=zh-TW&rclk=1,4.7,1418,,
台北寒舍艾美酒店,https://www.google.com.tw/maps/place/%E5%8F%B0%E5%8C%97%E5%AF%92%E8%88%8D%E8%89%BE%E7%BE%8E%E9%85%92%E5%BA%97/data=!4m6!3m5!1s0x3442abba50d70b7b:0x313d65ce289c8267!8m2!3d25.0382!4d121.567965!16s%2Fg%2F12mkyl3mw?authuser=0&hl=zh-TW&rclk=1,4.3,7665,,
WOOBAR,https://www.google.com.tw/maps/place/WOOBAR/data=!4m6!3m5!1s0x3442abb95768ddc1:0xc1aa2c9cc269375a!8m2!3d25.040568!4d121.5657577!16s%2Fg%2F1tg4j22f?authuser=0&hl=zh-TW&rclk=1,4.2,601,,
上海醉月樓,https://www.google.com.tw/maps/place/%E4%B8%8A%E6%B5%B7%E9%86%89%E6%9C%88%E6%A8%93/data=!4m6!3m5!1s0x3442aa32657dac5d:0xcbaa0c068253de21!8m2!3d25.0264311!4d121.5493234!16s%2Fg%2F1td15jjz?authuser=0&hl=zh-TW&rclk=1,4.4,666,,
巴雷巴雷印度餐廳,https://www.google.com.tw/maps/place/%E5%B7%B4%E9%9B%B7%E5%B7%B4%E9%9B%B7%E5%8D%B0%E5%BA%A6%E9%A4%90%E5%BB%B3/data=!4m6!3m5!1s0x3442abc02f6fed27:0xbfc4969ffc8be3e7!8m2!3d25.0486993!4d121.5576634!16s%2Fg%2F1hm4zqsrv?authuser=0&hl=zh-TW&rclk=1,4.8,5957,,
